current_state,previous_state,estimate,margin_of_error,year
ID,VA,611,662.0,2010
ID,VT,0,267.0,2010
ID,WA,10876,2438.0,2010
ID,WI,233,292.0,2010
ID,WV,133,158.0,2010
ID,WY,1410,723.0,2010
IL,AK,1764,1078.0,2010
IL,AL,1397,596.0,2010
IL,AR,1194,665.0,2010
IL,AZ,5921,1897.0,2010
IL,CA,16205,3236.0,2010
IL,CO,3850,1360.0,2010
IL,CT,2264,1125.0,2010
IL,DC,1047,581.0,2010
IL,DE,56,57.0,2010
IL,FL,8051,1715.0,2010
IL,GA,6781,2524.0,2010
IL,HI,1224,776.0,2010
IL,IA,9141,1866.0,2010
IL,ID,313,258.0,2010
IL,IN,21918,4147.0,2010
IL,KS,1970,991.0,2010
IL,KY,2921,831.0,2010
IL,LA,1419,687.0,2010
IL,MA,2811,1111.0,2010
IL,MD,1985,1210.0,2010
IL,ME,55,93.0,2010
IL,MI,11865,2138.0,2010
IL,MN,4300,1815.0,2010
IL,MO,16703,3325.0,2010
IL,MS,1093,861.0,2010
IL,MT,928,937.0,2010
IL,NC,5504,2479.0,2010
IL,ND,1112,788.0,2010
IL,NE,546,373.0,2010
IL,NH,206,202.0,2010
IL,NJ,2331,1262.0,2010
IL,NM,996,709.0,2010
IL,NV,2541,1214.0,2010
IL,NY,8479,2555.0,2010
IL,OH,5103,1201.0,2010
IL,OK,1459,777.0,2010
IL,OR,1224,789.0,2010
IL,PA,5190,1822.0,2010
IL,RI,838,643.0,2010
IL,SC,1565,787.0,2010
IL,SD,292,264.0,2010
IL,TN,3999,1131.0,2010
IL,TX,12245,3113.0,2010
IL,UT,658,427.0,2010
IL,VA,3831,1241.0,2010
IL,VT,260,257.0,2010
IL,WA,1642,707.0,2010
IL,WI,15364,2866.0,2010
IL,WV,812,523.0,2010
IL,WY,586,432.0,2010
IN,AK,177,143.0,2010
IN,AL,1502,1110.0,2010
IN,AR,1548,1104.0,2010
IN,AZ,2210,914.0,2010
IN,CA,8959,2863.0,2010
IN,CO,1362,658.0,2010
IN,CT,544,404.0,2010
IN,DC,181,156.0,2010
IN,DE,0,267.0,2010
IN,FL,5496,1564.0,2010
IN,GA,1623,913.0,2010
IN,HI,267,316.0,2010
IN,IA,1885,1191.0,2010
IN,ID,772,604.0,2010
IN,IL,27950,4658.0,2010
IN,KS,1582,996.0,2010
IN,KY,10643,2402.0,2010
IN,LA,749,599.0,2010
IN,MA,103,135.0,2010
IN,MD,1641,950.0,2010
IN,ME,30,50.0,2010
IN,MI,9361,1837.0,2010
IN,MN,916,385.0,2010
IN,MO,3893,2531.0,2010
IN,MS,270,255.0,2010
IN,MT,164,201.0,2010
IN,NC,2828,1141.0,2010
IN,ND,0,267.0,2010
IN,NE,705,654.0,2010
IN,NH,114,134.0,2010
IN,NJ,1876,1526.0,2010
IN,NM,188,229.0,2010
IN,NV,227,239.0,2010
IN,NY,2564,952.0,2010
IN,OH,13272,2750.0,2010
IN,OK,681,563.0,2010
IN,OR,423,380.0,2010
IN,PA,2668,1128.0,2010
IN,RI,174,284.0,2010
IN,SC,584,405.0,2010
IN,SD,216,258.0,2010
IN,TN,3093,1261.0,2010
IN,TX,6335,1643.0,2010
IN,UT,444,432.0,2010
IN,VA,3673,1633.0,2010
IN,VT,45,73.0,2010
IN,WA,571,340.0,2010
IN,WI,1762,893.0,2010
IN,WV,669,562.0,2010
IN,WY,413,403.0,2010
KS,AK,1050,697.0,2010
KS,AL,44,75.0,2010
KS,AR,1596,1073.0,2010
KS,AZ,2238,878.0,2010
KS,CA,6125,1459.0,2010
KS,CO,6022,2519.0,2010
KS,CT,85,140.0,2010
KS,DC,0,248.0,2010
KS,DE,238,275.0,2010
KS,FL,2863,1848.0,2010
KS,GA,1916,1039.0,2010
KS,HI,128,154.0,2010
KS,IA,1875,1184.0,2010
KS,ID,398,407.0,2010
KS,IL,2943,1096.0,2010
KS,IN,1544,859.0,2010
KS,KY,1048,1402.0,2010
KS,LA,890,580.0,2010
KS,MA,100,120.0,2010
KS,MD,1369,1103.0,2010
KS,ME,0,248.0,2010
KS,MI,806,457.0,2010
KS,MN,1562,1147.0,2010
KS,MO,23384,3524.0,2010
KS,MS,167,146.0,2010
KS,MT,289,318.0,2010
KS,NC,1083,649.0,2010
KS,ND,225,373.0,2010
KS,NE,2678,875.0,2010
KS,NH,76,130.0,2010
KS,NJ,1743,1236.0,2010
KS,NM,873,580.0,2010
KS,NV,1318,1245.0,2010
KS,NY,2390,1235.0,2010
KS,OH,1509,1127.0,2010
KS,OK,7568,2302.0,2010
KS,OR,514,610.0,2010
KS,PA,563,537.0,2010
KS,RI,39,79.0,2010
KS,SC,137,211.0,2010
KS,SD,352,227.0,2010
KS,TN,1152,821.0,2010
KS,TX,9217,2824.0,2010
KS,UT,238,298.0,2010
KS,VA,1648,934.0,2010
KS,VT,75,126.0,2010
KS,WA,1175,792.0,2010
KS,WI,1233,898.0,2010
KS,WV,0,248.0,2010
KS,WY,573,531.0,2010
KY,AK,3017,2024.0,2010
KY,AL,2161,871.0,2010
KY,AR,558,547.0,2010
KY,AZ,2598,1483.0,2010
KY,CA,3779,1387.0,2010
KY,CO,329,363.0,2010
KY,CT,698,710.0,2010
KY,DC,147,210.0,2010
KY,DE,38,64.0,2010
KY,FL,10119,2893.0,2010
KY,GA,6397,2093.0,2010
KY,HI,520,520.0,2010
KY,IA,656,788.0,2010
KY,ID,71,119.0,2010
KY,IL,4659,1887.0,2010
KY,IN,11906,2334.0,2010
KY,KS,1109,1031.0,2010
KY,LA,437,435.0,2010
